B1	2.90	12.50	90.00	RS-282G05A3-SM RT	3.6X6MM
C1	40.80	19.15	90.00	2.2 µF	CAP0603_MIN
C10	36.30	12.95	0.00	10 µF	CAP0603_MIN
C11	41.30	4.90	180.00	1uF	CAP0402
C12	36.30	14.45	0.00	10 µF	CAP0603_MIN
C13	36.80	22.00	90.00	1uF	CAP0402
C14	32.10	22.00	90.00	1uF	CAP0402
C15	33.50	14.45	180.00	10 µF	CAP0603_MIN
C16	42.90	9.10	0.00	10nF	CAP0402
C17	23.90	9.30	270.00	0.1 µF	CAP0402
C18	14.10	15.05	180.00	0.1 µF	CAP0402
C19	14.10	14.15	180.00	0.1 µF	CAP0402
C2	35.80	22.00	270.00	1uF	CAP0402
C20	15.90	15.55	180.00	0.1 µF	CAP0402
C21	15.90	16.45	180.00	0.1 µF	CAP0402
C22	6.40	14.00	180.00	0.1 µF	CAP0402
C23	15.70	21.80	270.00	0.1 µF	CAP0402
C24	8.70	5.90	270.00	0.1 µF	CAP0402
C25	27.80	7.65	0.00	0.1 µF	CAP0402
C3	38.40	19.60	270.00	2.2uF	CAP0402
C4	39.45	19.60	90.00	10uF	CAP0402
C5	40.50	8.30	90.00	1uF	CAP0402
C6	38.75	21.10	0.00	1uF	CAP0402
C7	40.15	16.35	270.00	10 uF	CAP0603_MIN
C8	38.55	16.35	270.00	10 uF	CAP0603_MIN
C9	38.25	13.90	90.00	0.1uF	CAP0402
D1	43.45	16.40	0.00	150060RS75000	0603
D18	33.10	8.10	0.00	RBR3MM40ATR	SOD-123F
J1	25.13	16.59	180.00	12401610E4#2A	12401610E4_2A
J16	4.95	6.55	0.00	TEST_POINT_ROUND	TEST_POINT_1MM
J17	43.40	18.10	0.00	TEST_POINT_ROUND	TEST_POINT_1MM
J18	34.50	11.60	0.00	TEST_POINT_ROUND	TEST_POINT_1MM
J19	38.20	6.80	0.00	TEST_POINT_ROUND	TEST_POINT_1MM
J2	25.00	4.09	0.00	0526102072	0526102072
J20	33.05	9.65	0.00	TEST_POINT_ROUND	TEST_POINT_1MM
J22	40.70	3.80	180.00	TEST_POINT_ROUND	TEST_POINT_1MM
J3	44.88	12.50	180.00	5-1775444-3	5-1775444-3
L1	40.15	13.15	270.00	1uH	1008
P11	42.20	19.20	180.00	CUTTING_KEY_HALF_ROUND	CUTTING_KEY_HALF_ROUND
P12	17.90	22.90	180.00	CUTTING_KEY_HALF_ROUND_MIDDLE_PIN	CUTTING_KEY_HALF_ROUND_MIDDLE_PIN
R1	33.95	22.00	270.00	200K	RES0402
R10	4.80	7.90	180.00	10k	RES0402
R11	20.30	8.20	270.00	10k	RES0402
R12	5.50	18.70	180.00	200K	RES0402
R2	34.85	22.00	90.00	2.2k	RES0402
R3	33.05	22.00	90.00	2.2k	RES0402
R4	46.20	16.41	180.00	470	RES0603
R5	32.96	12.80	90.00	200K	RES0402
R6	30.90	15.30	180.00	10k	RES0402
R7	10.80	20.40	0.00	1K	RES0402
R8	14.30	22.70	0.00	12K	RES0402
R9	25.30	10.40	180.00	10k	RES0402
RT1	30.90	14.30	0.00	10k	CAP0402
U1	35.35	17.65	90.00	MAX77860EWG+	MAX77860
U10	27.25	14.62	90.00	SP3401-02UTG	UDFN-6L
U11	29.00	13.52	90.00	SP3401-02UTG	UDFN-6L
U12	15.75	7.69	270.00	SP3401-02UTG	UDFN-6L
U13	18.75	7.69	270.00	SP3401-02UTG	UDFN-6L
U14	21.75	7.69	270.00	SP3003-02UTG	UDFN-6L
U15	24.75	7.69	270.00	SP3003-02UTG	UDFN-6L
U16	30.39	20.90	180.00	SP3003-02UTG	UDFN-6L
U17	30.42	19.00	0.00	SP3003-02UTG	UDFN-6L
U18	19.62	20.70	0.00	SP3003-02UTG	UDFN-6L
U2	42.20	6.91	270.00	MAX8510ETA33+T	8-TDFN
U3	9.50	15.00	180.00	HD3SS460IRHRT	30-PIN-WQFN
U4	13.40	21.00	0.00	TLV7021DCKR	SC-70-5
U5	19.59	15.35	180.00	SP3401-02UTG	UDFN-6L
U6	19.62	18.90	0.00	SP3401-02UTG	UDFN-6L
U7	8.50	9.00	90.00	HD3SS3212RKSR	20-PIN-WQFN
U8	22.00	9.50	270.00	TS3USB221RSERG4	10-PIN-UQFN
U9	27.40	9.50	180.00	TS3USB221RSERG4	10-PIN-UQFN
